,Date Reported As Of,PID,Project Name,Description,Category,Borough,Managing Agency,Client Agency,Current Phase,Design Start,Budget Forecast,Latest Budget Changes,Total Budget Changes,Forecast Completion,Latest Schedule Changes,Total Schedule Changes,Original Budget,Original Completion,Original Expected Duration,Latest Budget Changes (Scaled to Original),Total Budget Changes (Scaled to Original),Latest Schedule Changes (Scaled to Original),Total Schedule Changes (Scaled to Original),Total Frequency of Budget Changes,Total Frequency of Schedule Changes,Cumulative Budget Changes ($),Cumulative Schedule Changes (days),Budget_Change_Boolean,Schedule_Change_Boolean,Cumulative Budget Changes (no. of times),Cumulative Schedule Changes (no. of times)
2,2019-01-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2013-09-23,185099718.62,8025707.0,-4318643.37,2020-08-28,31.0,270.0,184896360.0,2020-01-13,2303.0,0.04340651703473232,-0.023357103244217463,0.013460703430308293,0.11723838471558837,13.0,12.0,203359.0,228.0,1.0,1.0,11.0,11.0
1,2019-05-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2013-09-23,185242696.69,142978.0,-4318643.37,2020-10-09,42.0,270.0,184896360.0,2020-01-13,2303.0,0.000773287262118086,-0.023357103244217463,0.0182370820668693,0.11723838471558837,13.0,12.0,346337.0,270.0,1.0,1.0,12.0,12.0
0,2019-09-01,3,26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,The 26th Ward WWTP is mandated to be upgraded with preliminary treatment reliability improvements.  These improvements will ensure the continued reliable treatment of flow at the plant and reduce potential negative impacts to Jamaica Bay.,Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2013-09-23,180577716.63,-4664980.0,-4318643.37,2020-10-09,0.0,270.0,184896360.0,2020-01-13,2303.0,-0.025230242499095168,-0.023357103244217463,0.0,0.11723838471558837,13.0,12.0,-4318643.0,270.0,1.0,0.0,13.0,12.0
27,2013-09-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Design,2013-05-01,53493000.0,0.0,15305457.0,2018-03-31,0.0,685.0,53493000.0,2018-03-31,1795.0,0.0,0.28612074477034377,0.0,0.3816155988857939,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2014-01-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Design,2013-05-01,58018000.0,4525000.0,15305457.0,2018-03-31,0.0,685.0,53493000.0,2018-03-31,1795.0,0.08459050716916232,0.28612074477034377,0.0,0.3816155988857939,14.0,12.0,4525000.0,0.0,1.0,0.0,1.0,0.0
25,2014-05-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Design,2013-05-01,53726722.0,-4291278.0,15305457.0,2018-03-31,0.0,685.0,53493000.0,2018-03-31,1795.0,-0.08022129998317537,0.28612074477034377,0.0,0.3816155988857939,14.0,12.0,233722.0,0.0,1.0,0.0,2.0,0.0
24,2015-02-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction Procurement,2013-05-01,52668403.0,-1058319.0,15305457.0,2018-04-01,1.0,685.0,53493000.0,2018-03-31,1795.0,-0.019784252145140485,0.28612074477034377,0.0005571030640668524,0.3816155988857939,14.0,12.0,-824597.0,1.0,1.0,1.0,3.0,1.0
23,2015-08-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction Procurement,2013-05-01,63980485.0,11312082.0,15305457.0,2018-01-28,-63.0,685.0,53493000.0,2018-03-31,1795.0,0.21146845381638718,0.28612074477034377,-0.0350974930362117,0.3816155988857939,14.0,12.0,10487485.0,-62.0,1.0,1.0,4.0,2.0
22,2016-01-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,2013-05-01,63111785.3,-868700.0,15305457.0,2019-02-28,396.0,685.0,53493000.0,2018-03-31,1795.0,-0.016239507973005815,0.28612074477034377,0.22061281337047353,0.3816155988857939,14.0,12.0,9618785.0,334.0,1.0,1.0,5.0,3.0
21,2016-06-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,2013-05-01,62301672.08,-810113.0,15305457.0,2017-09-08,-538.0,685.0,53493000.0,2018-03-31,1795.0,-0.01514428056007328,0.28612074477034377,-0.29972144846796656,0.3816155988857939,14.0,12.0,8808672.0,-204.0,1.0,1.0,6.0,4.0
20,2016-11-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,2013-05-01,63165211.75,863540.0,15305457.0,2017-09-14,6.0,685.0,53493000.0,2018-03-31,1795.0,0.01614304675378087,0.28612074477034377,0.003342618384401114,0.3816155988857939,14.0,12.0,9672212.0,-198.0,1.0,1.0,7.0,5.0
19,2017-04-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,2013-05-01,63438805.99,273594.0,15305457.0,2017-11-10,57.0,685.0,53493000.0,2018-03-31,1795.0,0.005114575738881723,0.28612074477034377,0.03175487465181059,0.3816155988857939,14.0,12.0,9945806.0,-141.0,1.0,1.0,8.0,6.0
18,2017-09-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,2013-05-01,66806758.61,3367953.0,15305457.0,2018-07-19,251.0,685.0,53493000.0,2018-03-31,1795.0,0.06296063036285121,0.28612074477034377,0.13983286908077994,0.3816155988857939,14.0,12.0,13313759.0,110.0,1.0,1.0,9.0,7.0
17,2018-03-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,2013-05-01,66557303.91,-249455.0,15305457.0,2019-02-18,214.0,685.0,53493000.0,2018-03-31,1795.0,-0.004663320434449367,0.28612074477034377,0.1192200557103064,0.3816155988857939,14.0,12.0,13064304.0,324.0,1.0,1.0,10.0,8.0
16,2018-08-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,2013-05-01,67106080.25,548776.0,15305457.0,2019-08-27,190.0,685.0,53493000.0,2018-03-31,1795.0,0.01025883760492027,0.28612074477034377,0.10584958217270195,0.3816155988857939,14.0,12.0,13613080.0,514.0,1.0,1.0,11.0,9.0
15,2019-01-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,2013-05-01,62463080.08,-4643000.0,15305457.0,2019-10-16,50.0,685.0,53493000.0,2018-03-31,1795.0,-0.08679640326771727,0.28612074477034377,0.027855153203342618,0.3816155988857939,14.0,12.0,8970080.0,564.0,1.0,1.0,12.0,10.0
14,2019-05-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,2013-05-01,67732573.24,5269493.0,15305457.0,2019-11-18,33.0,685.0,53493000.0,2018-03-31,1795.0,0.09850808517002224,0.28612074477034377,0.01838440111420613,0.3816155988857939,14.0,12.0,14239573.0,597.0,1.0,1.0,13.0,11.0
13,2019-09-01,7,Bowery Bay Waste Water Treatment Plant Main Sewage Pump Controls and Piping Replacements,The existing Main Sewage Pumps have deteriorated and the pumping system including suction and discharge headers and valves are in need of replacement.,Wastewater Treatment,Queens,DEP,DEP,Construction,2013-05-01,68798457.0,1065884.0,15305457.0,2020-02-14,88.0,685.0,53493000.0,2018-03-31,1795.0,0.019925672517899538,0.28612074477034377,0.04902506963788301,0.3816155988857939,14.0,12.0,15305457.0,685.0,1.0,1.0,14.0,12.0
42,2013-09-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,66616435.0,0.0,1255175.02,2017-05-31,0.0,1014.0,66616434.99999999,2017-05-31,5031.0,0.0,0.0188418221419384,0.0,0.20155038759689922,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2014-01-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,69860833.0,3244398.0,1255175.02,2017-05-10,-21.0,1014.0,66616434.99999999,2017-05-31,5031.0,0.04870266624144628,0.0188418221419384,-0.0041741204531902205,0.20155038759689922,13.0,8.0,3244398.0,-21.0,1.0,1.0,1.0,1.0
40,2014-05-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,63554849.18,-6305984.0,1255175.02,2017-05-10,0.0,1014.0,66616434.99999999,2017-05-31,5031.0,-0.09466108476084019,0.0188418221419384,0.0,0.20155038759689922,13.0,8.0,-3061586.0,-21.0,1.0,0.0,2.0,1.0
39,2015-02-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,65184476.18,1629627.0,1255175.02,2017-05-10,0.0,1014.0,66616434.99999999,2017-05-31,5031.0,0.02446283713621121,0.0188418221419384,0.0,0.20155038759689922,13.0,8.0,-1431959.0,-21.0,1.0,0.0,3.0,1.0
38,2015-08-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,64325161.18,-859315.0,1255175.02,2017-05-10,0.0,1014.0,66616434.99999999,2017-05-31,5031.0,-0.01289944440887598,0.0188418221419384,0.0,0.20155038759689922,13.0,8.0,-2291274.0,-21.0,1.0,0.0,4.0,1.0
37,2016-01-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,64255264.52,-69897.0,1255175.02,2017-05-10,0.0,1014.0,66616434.99999999,2017-05-31,5031.0,-0.0010492455803136269,0.0188418221419384,0.0,0.20155038759689922,13.0,8.0,-2361171.0,-21.0,1.0,0.0,5.0,1.0
36,2016-06-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,103885283.0,39630018.0,1255175.02,2017-09-15,128.0,1014.0,66616434.99999999,2017-05-31,5031.0,0.5948985111556931,0.0188418221419384,0.025442258000397535,0.20155038759689922,13.0,8.0,37268847.0,107.0,1.0,1.0,6.0,2.0
35,2016-11-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,64285939.2,-39599344.0,1255175.02,2017-09-15,0.0,1014.0,66616434.99999999,2017-05-31,5031.0,-0.5944380542128981,0.0188418221419384,0.0,0.20155038759689922,13.0,8.0,-2330497.0,107.0,1.0,0.0,7.0,2.0
34,2017-04-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,68968085.2,4682146.0,1255175.02,2017-09-15,0.0,1014.0,66616434.99999999,2017-05-31,5031.0,0.07028514810196614,0.0188418221419384,0.0,0.20155038759689922,13.0,8.0,2351649.0,107.0,1.0,0.0,8.0,2.0
33,2017-09-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,69595518.39,627433.0,1255175.02,2018-02-19,157.0,1014.0,66616434.99999999,2017-05-31,5031.0,0.009418591673361086,0.0188418221419384,0.0312065195786126,0.20155038759689922,13.0,8.0,2979082.0,264.0,1.0,1.0,9.0,3.0
32,2018-03-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,69595518.2,0.0,1255175.02,2018-08-11,173.0,1014.0,66616434.99999999,2017-05-31,5031.0,0.0,0.0188418221419384,0.03438680182866229,0.20155038759689922,13.0,8.0,2979082.0,437.0,0.0,1.0,9.0,4.0
31,2018-08-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,70722510.39,1126992.0,1255175.02,2018-11-30,111.0,1014.0,66616434.99999999,2017-05-31,5031.0,0.016917627009010616,0.0188418221419384,0.022063208109719738,0.20155038759689922,13.0,8.0,4106074.0,548.0,1.0,1.0,10.0,5.0
30,2019-01-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,70514312.29,-208198.0,1255175.02,2019-09-13,287.0,1014.0,66616434.99999999,2017-05-31,5031.0,-0.003125324854144477,0.0188418221419384,0.057046312860266346,0.20155038759689922,13.0,8.0,3897876.0,835.0,1.0,1.0,11.0,6.0
29,2019-05-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,69271221.26,-1243091.0,1255175.02,2019-12-10,88.0,1014.0,66616434.99999999,2017-05-31,5031.0,-0.018660425163850334,0.0188418221419384,0.017491552375273306,0.20155038759689922,13.0,8.0,2654785.0,923.0,1.0,1.0,12.0,7.0
28,2019-09-01,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,2003-08-22,67871610.02,-1399611.0,1255175.02,2020-03-10,91.0,1014.0,66616434.99999999,2017-05-31,5031.0,-0.02100999550636416,0.0188418221419384,0.01808785529715762,0.20155038759689922,13.0,8.0,1255174.0,1014.0,1.0,1.0,13.0,8.0
57,2013-09-01,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2001-11-01,198134067.0,0.0,25233101.11,2014-08-05,0.0,1974.0,198134067.0,2014-08-05,4610.0,0.0,0.12735367265236625,0.0,0.42819956616052063,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2014-01-01,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2001-11-01,209034169.0,10900102.0,25233101.11,2014-09-30,56.0,1974.0,198134067.0,2014-08-05,4610.0,0.055013770044906006,0.12735367265236625,0.012147505422993492,0.42819956616052063,14.0,10.0,10900102.0,56.0,1.0,1.0,1.0,1.0
55,2014-05-01,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2001-11-01,205416231.72,-3617937.0,25233101.11,2014-11-04,35.0,1974.0,198134067.0,2014-08-05,4610.0,-0.018260045103702435,0.12735367265236625,0.007592190889370932,0.42819956616052063,14.0,10.0,7282165.0,91.0,1.0,1.0,2.0,2.0
54,2015-02-01,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2001-11-01,211461068.72,6044837.0,25233101.11,2015-06-19,227.0,1974.0,198134067.0,2014-08-05,4610.0,0.03050882208964095,0.12735367265236625,0.049240780911062904,0.42819956616052063,14.0,10.0,13327002.0,318.0,1.0,1.0,3.0,3.0
53,2015-08-01,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2001-12-21,214798048.72,3336980.0,25233101.11,2015-11-17,151.0,1974.0,198134067.0,2014-08-05,4610.0,0.016842030502508182,0.12735367265236625,0.03275488069414317,0.42819956616052063,14.0,10.0,16663982.0,469.0,1.0,1.0,4.0,4.0
52,2016-01-01,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2001-12-21,216539412.0,1741363.0,25233101.11,2016-05-23,188.0,1974.0,198134067.0,2014-08-05,4610.0,0.008788811668616281,0.12735367265236625,0.040780911062906725,0.42819956616052063,14.0,10.0,18405345.0,657.0,1.0,1.0,5.0,5.0
51,2016-06-01,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2001-12-21,218544078.92,2004667.0,25233101.11,2016-09-21,121.0,1974.0,198134067.0,2014-08-05,4610.0,0.01011773003175673,0.12735367265236625,0.026247288503253797,0.42819956616052063,14.0,10.0,20410012.0,778.0,1.0,1.0,6.0,6.0
50,2016-11-01,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2001-12-21,218126809.5,-417269.0,25233101.11,2017-12-31,466.0,1974.0,198134067.0,2014-08-05,4610.0,-0.0021059932111523257,0.12735367265236625,0.10108459869848156,0.42819956616052063,14.0,10.0,19992743.0,1244.0,1.0,1.0,7.0,7.0
49,2017-04-01,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2001-12-21,221435078.5,3308269.0,25233101.11,2017-12-31,0.0,1974.0,198134067.0,2014-08-05,4610.0,0.01669712356936579,0.12735367265236625,0.0,0.42819956616052063,14.0,10.0,23301012.0,1244.0,1.0,0.0,8.0,7.0
48,2017-09-01,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,2001-12-21,220461167.1,-973911.0,25233101.11,2018-01-24,24.0,1974.0,198134067.0,2014-08-05,4610.0,-0.0049154141675192085,0.12735367265236625,0.005206073752711497,0.42819956616052063,14.0,10.0,22327101.0,1268.0,1.0,1.0,9.0,8.0
